,Iteration,Total Malus,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour
119,119,100,2,0,1,0
120,120,99,0,0,0,1
121,121,99,0,0,0,0
122,122,99,0,0,0,0
123,123,98,0,0,1,0
124,124,97,1,0,0,0
125,125,97,0,0,0,0
126,126,97,0,0,0,0
127,127,97,0,0,0,0
128,128,97,0,0,0,0
129,129,97,0,0,0,0
130,130,97,0,0,0,0
131,131,96,0,0,1,0
132,132,96,0,0,0,0
133,133,96,0,0,0,0
134,134,96,0,0,0,0
135,135,96,0,0,0,0
136,136,96,0,0,0,0
137,137,96,0,0,0,0
138,138,96,0,0,0,0
139,139,94,2,0,0,0
140,140,94,0,0,0,0
141,141,93,0,0,0,1
142,142,93,0,0,0,0
143,143,93,0,0,0,0
144,144,92,0,1,0,1
145,145,92,0,0,0,0
146,146,91,0,0,0,1
147,147,91,0,0,0,0
148,148,91,0,0,0,0
149,149,91,0,0,0,0
150,150,91,0,0,0,0
151,151,91,0,0,0,0
152,152,90,0,0,0,1
153,153,90,0,0,0,0
154,154,90,0,0,0,0
155,155,90,0,0,0,0
156,156,90,0,0,0,0
157,157,89,0,0,0,1
158,158,88,0,0,0,1
159,159,88,0,0,0,0
160,160,88,0,0,0,0
161,161,88,0,0,0,0
162,162,88,0,0,0,0
163,163,87,0,1,0,0
164,164,87,0,0,0,0
165,165,87,0,0,0,0
166,166,87,0,0,0,0
167,167,87,0,0,0,0
168,168,87,0,0,0,0
169,169,87,0,0,0,0
170,170,87,0,0,0,0
171,171,87,0,0,0,0
172,172,87,0,0,0,0
173,173,86,0,1,0,1
174,174,86,0,0,0,0
175,175,86,0,0,0,0
176,176,85,0,0,0,1
177,177,85,0,0,0,0
178,178,85,0,0,0,0
179,179,85,0,0,0,0
180,180,85,0,0,0,0
181,181,84,1,0,0,0
182,182,84,0,0,0,0
183,183,84,0,0,0,0
184,184,84,0,0,0,0
185,185,84,0,0,0,0
186,186,84,0,0,0,0
187,187,84,0,0,0,0
188,188,84,0,0,0,0
189,189,84,0,0,0,0
190,190,84,0,0,0,0
191,191,84,0,0,0,0
192,192,84,0,0,0,0
193,193,84,0,0,0,0
194,194,84,0,0,0,0
195,195,84,0,0,0,0
196,196,84,0,0,0,0
197,197,84,0,0,0,0
198,198,84,0,0,0,0
199,199,84,0,0,0,0
200,200,84,0,0,0,0
201,201,84,0,0,0,0
202,202,84,0,0,0,0
203,203,84,0,0,0,0
204,204,84,0,0,0,0
205,205,84,0,0,0,0
206,206,84,0,0,0,0
207,207,84,0,0,0,0
208,208,84,0,0,0,0
209,209,84,0,0,0,0
210,210,84,0,0,0,0
211,211,84,0,0,0,0
