,Total Malus,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour
0,1590,0,0,0,0
1,871,719,682,68,81
2,747,124,96,28,35
3,1507,0,0,0,0
4,751,756,578,66,75
5,675,56,76,26,17
