Iteration,list_iterations,Iteration,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour,list_duration_since_innit
1,56,82,0,0,0,0,900.59
1,57,82,0,0,0,0,912.79
1,58,81,1,0,0,0,925.21
1,59,81,0,0,0,0,937.28
1,60,81,0,0,0,0,949.2
1,61,81,0,0,0,0,961.14
1,62,81,0,0,0,0,973.32
1,63,81,0,0,0,0,986.39
1,64,80,0,0,0,1,999.22
1,65,80,0,0,0,0,1010.96
1,66,80,0,0,0,0,1022.3
1,67,80,0,0,0,0,1033.8
1,68,80,0,0,0,0,1045.09
1,69,80,0,0,0,0,1056.51
1,70,80,0,0,0,0,1068.29
1,71,80,0,0,0,0,1079.85
1,72,80,0,0,0,0,1091.3
1,73,80,0,0,0,0,1102.96
1,74,80,0,0,0,0,1114.75
1,75,80,0,0,0,0,1126.34
1,76,80,0,0,0,0,1138.17
1,77,80,0,0,0,0,1149.85
1,78,80,0,0,0,0,1161.35
1,79,80,0,0,0,0,1173.03
1,80,80,0,0,0,0,1184.93
1,81,80,0,0,0,0,1197.99
1,82,80,0,0,0,0,1210.11
1,83,80,0,0,0,0,1221.57
1,84,80,0,0,0,0,1233.1
1,85,80,0,0,0,0,1244.89
1,86,80,0,0,0,0,1256.75
1,87,80,0,0,0,0,1268.69
1,88,80,0,0,0,0,1280.63
1,89,80,0,0,0,0,1293.53
1,90,80,0,0,0,0,1308.36
1,91,80,0,0,0,0,1322.49
1,92,80,0,0,0,0,1333.5
1,93,80,0,0,0,0,1346.43
1,94,79,1,0,0,0,1358.42
1,95,79,0,0,0,0,1370.73
1,96,79,0,0,0,0,1383.03
1,97,79,0,0,0,0,1395.34
1,98,79,0,0,0,0,1407.66
1,99,79,0,0,0,0,1419.84
1,100,79,0,0,0,0,1434.07
1,101,79,0,0,0,0,1447.26
1,102,78,1,0,0,0,1460.53
1,103,78,0,0,0,0,1473.25
1,104,78,0,0,0,0,1487.7
1,105,78,0,0,0,0,1502.25
1,106,78,0,0,0,0,1514.96
1,107,78,0,0,0,0,1526.79
1,108,78,0,0,0,0,1541.09
1,109,78,0,0,0,0,1554.45
1,110,78,0,0,0,0,1567.27
1,111,77,1,0,0,0,1578.34
1,112,77,0,0,0,0,1592.37
1,113,77,0,0,0,0,1605.34
1,114,77,0,0,0,0,1619.41
1,115,76,1,0,0,0,1633.98
1,116,76,0,0,0,0,1647.47
1,117,76,0,0,0,0,1662.04
1,118,76,0,0,0,0,1674.96
1,119,75,1,0,0,0,1687.29
1,120,75,0,0,0,0,1698.72
1,121,75,0,0,0,0,1710.45
1,122,75,0,0,0,0,1721.51
1,123,75,0,0,0,0,1734.26
1,124,75,0,0,0,0,1747.2
1,125,75,0,0,0,0,1758.87
1,126,75,0,0,0,0,1771.78
1,127,74,1,0,0,0,1784.62
1,128,74,0,0,0,0,1798.25
1,129,74,0,0,0,0,1811.55
1,130,73,0,0,0,1,1823.72
1,131,73,0,0,0,0,1834.12
1,132,73,0,0,0,0,1844.7
1,133,73,0,0,0,0,1855.3
1,134,73,0,0,0,0,1866.57
1,135,73,0,0,0,0,1877.96
1,136,73,0,0,0,0,1890.32
1,137,73,0,0,0,0,1901.47
1,138,73,0,0,0,0,1912.07
1,139,73,0,0,0,0,1924.79
1,140,73,0,0,0,0,1935.36
1,141,73,0,0,0,0,1947.49
1,142,73,0,0,0,0,1959.33
1,143,73,0,0,0,0,1971.99
1,144,73,0,0,0,0,1983.69
1,145,73,0,0,0,0,1995.15
1,146,73,0,0,0,0,2007.09
1,147,73,0,0,0,0,2019.12
1,148,73,0,0,0,0,2031.79
1,149,73,0,0,0,0,2043.91
1,150,73,0,0,0,0,2056.2
1,151,73,0,0,0,0,2067.58
1,152,73,0,0,0,0,2078.95
1,153,73,0,0,0,0,2090.65
1,154,73,0,0,0,0,2101.74
1,155,73,0,0,0,0,2112.66
1,156,73,0,0,0,0,2123.83
1,157,73,0,0,0,0,2134.71
1,158,73,0,0,0,0,2145.09
1,159,73,0,0,0,0,2156.74
1,160,73,0,0,0,0,2168.49
2,0,1366,0,0,0,0,0
2,1,160,1206,1197,1188,1177,112.79
2,2,144,11,9,7,16,133.41
2,3,131,13,4,3,9,156.2
2,4,126,1,0,0,5,174.4
2,5,121,0,0,0,5,191.54
2,6,114,2,0,3,7,208.54
2,7,113,0,0,1,1,226.67
2,8,110,0,1,3,1,244.72
2,9,107,0,0,0,3,263.58
2,10,105,0,0,1,2,278.74
2,11,104,0,0,0,1,292.2
2,12,104,0,0,0,0,305.33
2,13,103,0,0,1,0,318.49
2,14,102,1,0,0,1,331.56
2,15,99,2,0,0,3,344.64
2,16,97,0,0,0,2,357.29
2,17,96,0,0,1,0,369.87
2,18,96,0,0,0,0,382.6
2,19,95,1,0,0,0,395.1
2,20,90,0,5,0,0,407.54
2,21,89,1,0,0,0,419.42
2,22,88,0,0,1,0,431.32
2,23,86,2,0,0,0,443.54
2,24,85,0,1,0,0,457.0
2,25,85,0,0,0,0,468.6
2,26,85,0,0,0,0,480.18
2,27,85,0,0,0,0,491.64
2,28,85,0,0,0,0,503.15
2,29,85,0,0,0,0,514.95
2,30,85,0,0,0,0,526.45
2,31,85,0,0,0,0,538.02
