Iteration,list_iterations,Iteration,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour,list_duration_since_innit
0,168,76,0,0,0,0,2065.81
0,169,76,0,0,0,0,2076.48
0,170,76,0,0,0,0,2087.21
0,171,76,0,0,0,0,2098.02
0,172,76,0,0,0,0,2108.97
0,173,76,0,0,0,0,2119.77
0,174,76,0,0,0,0,2130.58
0,175,76,0,0,0,0,2141.32
0,176,76,0,0,0,0,2152.14
0,177,76,0,0,0,0,2162.82
0,178,76,0,0,0,0,2173.49
0,179,76,0,0,0,0,2184.29
0,180,76,0,0,0,0,2195.5
0,181,76,0,0,0,0,2206.31
0,182,76,0,0,0,0,2217.19
0,183,76,0,0,0,0,2228.0
0,184,76,0,0,0,0,2238.59
0,185,76,0,0,0,0,2249.29
0,186,76,0,0,0,0,2259.93
0,187,76,0,0,0,0,2270.68
0,188,76,0,0,0,0,2281.41
0,189,76,0,0,0,0,2292.12
0,190,76,0,0,0,0,2302.88
0,191,76,0,0,0,0,2313.7
0,192,76,0,0,0,0,2324.38
0,193,76,0,0,0,0,2335.02
0,194,76,0,0,0,0,2345.72
0,195,76,0,0,0,0,2356.45
0,196,76,0,0,0,0,2367.39
0,197,76,0,0,0,0,2378.48
0,198,76,0,0,0,0,2389.15
0,199,76,0,0,0,0,2399.83
0,200,76,0,0,0,0,2410.62
0,201,76,0,0,0,0,2421.55
0,202,76,0,0,0,0,2432.22
0,203,76,0,0,0,0,2443.07
0,204,76,0,0,0,0,2453.75
0,205,76,0,0,0,0,2464.49
0,206,76,0,0,0,0,2475.23
0,207,76,0,0,0,0,2486.2
0,208,76,0,0,0,0,2497.0
0,209,76,0,0,0,0,2507.85
0,210,76,0,0,0,0,2518.59
0,211,76,0,0,0,0,2529.23
0,212,76,0,0,0,0,2539.89
0,213,75,1,0,0,0,2550.91
0,214,75,0,0,0,0,2561.54
0,215,75,0,0,0,0,2572.21
0,216,75,0,0,0,0,2582.85
0,217,75,0,0,0,0,2593.37
0,218,75,0,0,0,0,2603.95
0,219,75,0,0,0,0,2614.54
0,220,75,0,0,0,0,2625.26
0,221,75,0,0,0,0,2636.03
0,222,75,0,0,0,0,2646.64
0,223,75,0,0,0,0,2657.19
0,224,75,0,0,0,0,2667.85
0,225,75,0,0,0,0,2678.5
0,226,75,0,0,0,0,2689.11
0,227,75,0,0,0,0,2699.61
0,228,75,0,0,0,0,2710.56
0,229,75,0,0,0,0,2722.11
0,230,75,0,0,0,0,2733.21
0,231,75,0,0,0,0,2743.95
0,232,75,0,0,0,0,2754.63
0,233,75,0,0,0,0,2765.35
0,234,75,0,0,0,0,2775.98
0,235,75,0,0,0,0,2786.59
0,236,75,0,0,0,0,2797.18
0,237,75,0,0,0,0,2807.86
0,238,75,0,0,0,0,2818.49
0,239,75,0,0,0,0,2829.0
0,240,75,0,0,0,0,2839.61
0,241,75,0,0,0,0,2850.24
0,242,75,0,0,0,0,2860.88
0,243,75,0,0,0,0,2871.57
0,244,75,0,0,0,0,2882.14
0,245,75,0,0,0,0,2892.92
0,246,75,0,0,0,0,2903.52
0,247,75,0,0,0,0,2914.62
0,248,75,0,0,0,0,2925.23
0,249,75,0,0,0,0,2936.51
0,250,75,0,0,0,0,2947.1
0,251,75,0,0,0,0,2957.84
0,252,75,0,0,0,0,2968.49
0,253,75,0,0,0,0,2978.97
0,254,75,0,0,0,0,2989.76
0,255,75,0,0,0,0,3000.65
0,256,75,0,0,0,0,3011.38
0,257,75,0,0,0,0,3022.07
0,258,75,0,0,0,0,3032.7
0,259,75,0,0,0,0,3043.4
0,260,75,0,0,0,0,3054.1
0,261,75,0,0,0,0,3064.85
0,262,75,0,0,0,0,3075.56
0,263,75,0,0,0,0,3086.16
0,264,75,0,0,0,0,3097.29
0,265,75,0,0,0,0,3107.92
0,266,75,0,0,0,0,3118.6
0,267,75,0,0,0,0,3129.19
0,268,75,0,0,0,0,3139.74
0,269,75,0,0,0,0,3150.39
0,270,75,0,0,0,0,3161.0
0,271,75,0,0,0,0,3171.75
0,272,73,2,0,0,0,3182.55
0,273,73,0,0,0,0,3193.07
0,274,73,0,0,0,0,3203.61
0,275,73,0,0,0,0,3214.19
0,276,73,0,0,0,0,3224.66
0,277,73,0,0,0,0,3235.37
0,278,73,0,0,0,0,3245.74
0,279,73,0,0,0,0,3256.28
0,280,73,0,0,0,0,3266.72
0,281,73,0,0,0,0,3277.73
0,282,73,0,0,0,0,3288.22
0,283,73,0,0,0,0,3298.75
0,284,73,0,0,0,0,3309.21
0,285,73,0,0,0,0,3319.73
0,286,73,0,0,0,0,3330.28
0,287,72,1,0,0,0,3340.96
0,288,72,0,0,0,0,3351.3
0,289,72,0,0,0,0,3361.72
0,290,72,0,0,0,0,3372.05
0,291,72,0,0,0,0,3382.42
0,292,72,0,0,0,0,3392.78
0,293,72,0,0,0,0,3403.25
0,294,72,0,0,0,0,3413.77
0,295,72,0,0,0,0,3424.17
0,296,72,0,0,0,0,3434.55
0,297,72,0,0,0,0,3444.97
0,298,72,0,0,0,0,3455.71
0,299,72,0,0,0,0,3466.16
0,300,72,0,0,0,0,3476.77
