,List Iterations,Duration since innit,Total Malus,Swap Class Random,Swap Class Capacity,Swap Student Gaphour,Swap Student Doublehour
1260,103,1264.37,76,0,0,0,0
1261,104,1274.41,76,0,0,0,0
1262,105,1284.41,76,0,0,0,0
1263,106,1294.48,76,0,0,0,0
1264,107,1304.41,76,0,0,0,0
1265,108,1315.09,76,0,0,0,0
1266,109,1325.21,75,1,0,0,0
1267,110,1335.12,75,0,0,0,0
1268,111,1345.08,75,0,0,0,0
1269,112,1354.98,75,0,0,0,0
1270,113,1365.07,75,0,0,0,0
1271,114,1375.12,74,1,0,0,0
1272,115,1384.95,73,0,0,1,0
1273,116,1394.72,73,0,0,0,0
1274,117,1404.63,72,0,0,1,0
1275,118,1414.48,71,0,0,1,0
1276,119,1424.08,71,0,0,0,0
1277,120,1433.74,71,0,0,0,0
1278,121,1443.48,71,0,0,0,0
1279,122,1453.16,71,0,0,0,0
1280,123,1462.79,71,0,0,0,0
1281,124,1472.55,71,0,0,0,0
1282,125,1482.27,71,0,0,0,0
1283,126,1492.51,71,0,0,0,0
1284,127,1502.27,71,0,0,0,0
1285,128,1511.88,71,0,0,0,0
1286,129,1521.55,71,0,0,0,0
1287,130,1531.3,71,0,0,0,0
1288,131,1541.02,71,0,0,0,0
1289,132,1550.91,71,0,0,0,0
1290,133,1560.64,71,0,0,0,0
1291,134,1570.33,71,0,0,0,0
1292,135,1580.02,71,0,0,0,0
1293,136,1589.89,71,0,0,0,0
1294,137,1599.65,71,0,0,0,0
1295,138,1609.44,71,0,0,0,0
1296,139,1619.17,71,0,0,0,0
1297,140,1628.82,71,0,0,0,0
1298,141,1638.57,71,0,0,0,0
1299,142,1648.31,71,0,0,0,0
1300,143,1657.97,71,0,0,0,0
1301,144,1667.94,71,0,0,0,0
1302,145,1678.13,71,0,0,0,0
1303,146,1687.75,71,0,0,0,0
1304,147,1697.47,71,0,0,0,0
1305,148,1707.12,71,0,0,0,0
1306,0,0.0,1254,0,0,0,0
1307,1,111.4,166,1061,1088,208,199
1308,2,129.94,149,4,17,13,14
1309,3,147.68,137,6,0,12,9
1310,4,163.73,126,1,0,10,11
1311,5,178.86,120,0,6,5,3
1312,6,193.28,104,16,0,2,7
1313,7,206.68,98,1,0,6,3
1314,8,219.3,97,0,0,1,0
1315,9,231.99,95,0,0,1,2
1316,10,244.56,94,1,0,0,1
1317,11,256.97,94,0,0,0,0
1318,12,269.26,92,0,0,2,0
1319,13,281.51,91,0,0,0,1
1320,14,293.55,90,1,0,1,0
1321,15,305.59,89,1,0,0,1
1322,16,317.66,89,0,0,0,0
1323,17,330.05,87,0,0,0,2
1324,18,341.78,87,0,0,0,0
1325,19,353.48,85,0,2,0,1
1326,20,366.38,84,0,1,0,0
1327,21,377.89,82,2,0,2,1
1328,22,389.13,82,0,0,0,0
1329,23,400.42,81,0,0,1,1
1330,24,411.53,80,1,0,0,0
1331,25,422.82,79,0,0,0,1
1332,26,434.26,79,0,0,0,0
1333,27,445.55,78,0,0,0,1
1334,28,456.68,78,0,0,0,0
1335,29,467.66,77,0,0,1,1
1336,30,478.62,76,0,1,0,0
1337,31,489.64,75,0,1,0,0
1338,32,500.43,74,0,0,1,0
1339,33,511.57,73,1,0,0,0
1340,34,522.17,73,0,0,0,0
1341,35,532.78,73,0,0,0,0
1342,36,543.26,73,0,0,0,0
1343,37,553.96,73,0,0,0,0
1344,38,566.75,73,0,0,0,0
1345,39,578.56,73,0,0,0,0
1346,40,589.45,73,0,0,0,0
1347,41,600.04,72,0,1,0,0
1348,42,610.57,71,0,0,0,1
1349,43,621.04,71,0,0,0,0
1350,44,631.46,70,1,0,0,0
1351,45,641.72,70,0,0,0,0
1352,46,652.03,70,0,0,0,0
1353,47,662.37,70,0,0,0,0
1354,48,673.03,70,0,0,0,0
1355,49,683.42,69,1,0,0,0
1356,50,694.21,69,0,0,0,0
1357,51,704.74,69,0,0,0,0
1358,52,716.32,69,0,0,0,0
1359,53,727.16,69,0,0,0,0
1360,54,737.6,69,0,0,0,0
1361,55,748.71,69,0,0,0,0
1362,56,759.93,69,0,0,0,0
1363,57,770.38,69,0,0,0,0
1364,58,780.89,69,0,0,0,0
1365,59,792.04,69,0,0,0,0
1366,60,803.04,69,0,0,0,0
1367,61,813.49,69,0,0,0,0
1368,62,823.84,69,0,0,0,0
1369,63,834.09,60,0,9,0,0
1370,64,843.95,60,0,0,0,0
1371,65,853.75,60,0,0,0,0
1372,66,863.3,60,0,0,0,0
1373,67,873.33,60,0,0,0,0
1374,68,882.85,60,0,0,0,0
1375,69,892.46,59,0,0,1,0
1376,70,901.93,59,0,0,0,0
1377,71,911.77,59,0,0,0,0
1378,72,921.47,59,0,0,0,0
1379,73,931.26,59,0,0,0,0
1380,74,940.88,59,0,0,0,0
1381,75,950.75,59,0,0,0,0
1382,76,960.32,59,0,0,0,0
1383,77,969.81,59,0,0,0,0
1384,78,979.48,59,0,0,0,0
1385,79,988.83,59,0,0,0,0
1386,80,998.24,59,0,0,0,0
1387,81,1007.62,59,0,0,0,0
1388,82,1017.11,59,0,0,0,0
1389,83,1026.58,59,0,0,0,0
1390,84,1035.95,59,0,0,0,0
1391,85,1045.67,59,0,0,0,0
1392,86,1055.53,59,0,0,0,0
1393,87,1065.0,59,0,0,0,0
1394,88,1074.51,59,0,0,0,0
1395,89,1084.11,59,0,0,0,0
1396,90,1095.31,59,0,0,0,0
1397,91,1107.92,59,0,0,0,0
1398,92,1117.7,59,0,0,0,0
1399,93,1127.38,59,0,0,0,0
1400,94,1136.88,59,0,0,0,0
1401,95,1146.35,59,0,0,0,0
1402,96,1155.88,59,0,0,0,0
1403,97,1165.41,59,0,0,0,0
1404,98,1174.77,59,0,0,0,0
1405,99,1184.28,59,0,0,0,0
1406,0,0.0,1151,0,0,0,0
1407,1,129.22,171,917,980,298,274
1408,2,150.25,155,10,7,16,16
